date,Pop,Rock,Hip Hop,R&B,Electronic/Dance,Country,Jazz,Reggae,Latin,Classical,ê¸°íƒ€
genres,2138,167,1335,399,62,552,0,116,0,0,197
genres,2564,105,1106,379,96,796,0,0,0,0,4
genres,2193,267,1548,159,47,594,0,91,0,0,53
genres,2158,264,1624,153,57,554,0,91,0,0,53
genres,2234,268,1683,105,58,443,0,89,0,0,64
genres,2286,263,1639,96,65,426,0,103,0,0,68
genres,2116,320,1627,115,68,404,59,99,0,0,150
genres,2103,315,1668,113,71,404,63,81,0,0,142
genres,2089,347,1716,104,57,376,59,82,0,0,123
genres,2250,292,1536,113,61,568,0,97,0,0,40
genres,2250,264,1594,118,70,536,0,78,0,0,52
genres,2099,272,1738,118,71,533,0,68,0,0,59
genres,2384,98,1201,425,113,829,0,0,0,0,0
genres,2044,267,1954,120,12,454,0,57,0,0,46
genres,1939,264,2087,70,82,500,0,0,0,0,30
genres,2065,215,1804,163,79,572,0,0,0,0,38
genres,1930,197,2023,158,113,472,0,0,0,0,18
genres,1988,198,1888,164,131,519,0,0,0,0,16
genres,1759,211,2098,165,135,534,0,0,0,0,14
genres,1708,219,2057,166,142,501,0,0,0,0,179
genres,1637,231,2126,150,155,490,0,0,0,0,181
genres,1604,238,1887,159,168,534,0,0,0,0,386
genres,1635,288,1929,121,165,580,0,0,0,0,262
genres,2438,98,1163,426,119,806,0,0,0,0,0
genres,1578,257,1613,548,171,586,0,0,0,0,213
genres,2128,230,1578,250,162,439,0,0,0,0,180
genres,2006,231,1570,210,176,577,0,0,0,0,172
genres,1615,204,2223,167,171,414,0,0,0,0,130
genres,1420,94,2658,148,172,359,0,0,0,0,59
genres,1587,107,2258,161,175,474,0,0,0,0,89
genres,1626,116,2132,168,180,499,0,0,0,0,112
genres,1703,122,2037,158,186,531,0,0,0,0,92
genres,1702,123,2094,149,184,500,0,0,0,0,75
genres,1672,128,2186,124,178,510,0,0,0,0,69
genres,2430,98,1096,413,136,877,0,0,0,0,0
genres,1703,125,2110,118,181,551,0,0,0,0,68
genres,1666,113,1638,208,228,440,0,0,0,0,573
genres,1596,177,1718,108,175,512,0,0,0,0,577
genres,1183,103,2649,71,150,476,0,0,0,0,243
genres,1309,174,2202,92,191,632,0,0,0,0,251
genres,1538,260,1719,115,231,778,0,0,0,0,204
genres,1668,269,1546,138,248,800,0,0,0,0,194
genres,1714,264,1502,121,236,827,0,0,0,0,188
genres,1444,118,2298,99,200,562,0,0,0,0,139
genres,1861,182,1676,202,216,671,0,0,0,0,147
genres,2556,102,1063,397,139,793,0,0,0,0,0
genres,1948,225,1427,205,256,732,0,0,0,0,150
genres,1833,244,1531,200,270,736,0,0,0,0,149
genres,1482,233,2204,210,195,582,0,0,0,0,65
genres,1576,292,1865,211,216,636,0,0,0,0,72
genres,1532,273,2004,199,211,618,0,0,0,0,68
genres,1568,296,2023,191,205,576,0,0,0,0,68
genres,1274,252,2673,158,252,346,0,0,0,0,60
genres,1634,316,2164,165,261,427,0,0,0,0,72
genres,1591,273,2075,186,281,462,0,96,0,0,61
genres,1666,268,2063,168,286,438,0,88,0,0,58
genres,2547,101,1130,352,149,771,0,0,0,0,0
genres,1595,283,1949,231,284,451,0,86,0,0,132
genres,1635,346,2045,162,196,425,0,97,0,0,100
genres,1499,371,1995,158,185,523,0,97,0,0,182
genres,1593,336,1913,163,184,541,0,105,0,0,170
genres,1605,360,1793,144,177,462,62,99,0,0,314
genres,1485,330,2175,78,174,283,132,80,0,0,292
genres,1608,336,1450,78,173,472,146,83,0,0,695
genres,1676,406,1324,72,180,542,153,96,0,0,482
genres,1603,506,1385,63,165,437,171,79,0,0,506
genres,1616,239,1808,78,230,802,0,126,0,0,151
genres,2467,114,1183,258,174,854,0,0,0,0,0
genres,1630,235,1795,141,237,761,0,118,0,0,133
genres,1735,233,1771,117,229,656,0,116,0,0,193
genres,1665,208,1984,117,204,547,0,155,0,0,170
genres,1728,156,1907,126,184,643,0,137,0,0,169
genres,1771,159,1858,129,264,619,0,115,0,0,135
genres,2290,154,1635,58,176,508,0,121,0,0,108
genres,2063,159,1817,47,186,572,0,100,0,0,106
genres,1863,161,2108,72,158,505,0,109,0,0,74
genres,1768,187,1917,140,151,699,0,125,0,0,63
genres,1707,189,2044,113,182,644,0,105,0,0,66
genres,2255,109,1373,235,145,933,0,0,0,0,0
genres,1728,201,2026,113,176,646,0,96,0,0,64
genres,1738,204,1959,92,196,714,0,75,0,0,68
genres,2274,188,1737,54,138,535,0,56,0,0,59
genres,2222,174,1683,49,146,642,0,54,0,0,59
genres,2012,167,1834,47,149,658,0,56,0,0,93
genres,1935,174,1969,51,153,665,0,18,0,0,54
genres,1992,176,1883,41,168,699,0,12,0,0,46
genres,1920,179,1952,35,152,737,0,4,0,0,39
genres,1828,141,1837,92,148,798,0,28,0,0,143
genres,1637,133,2281,26,136,691,0,25,0,0,99
genres,2359,118,1293,263,171,827,0,0,0,0,10
genres,1644,143,2060,23,130,847,0,28,0,0,164
genres,1849,140,1825,35,124,880,0,27,0,0,162
genres,1751,150,1721,129,109,950,0,56,0,0,148
genres,1771,155,1810,128,112,817,0,57,0,0,151
genres,1815,146,1851,119,135,717,0,59,0,0,158
genres,1643,151,1837,137,139,749,0,92,0,0,236
genres,1630,151,1982,100,101,735,0,60,0,0,216
genres,1541,151,1828,91,93,770,0,72,0,0,414
genres,1603,152,1815,90,115,763,0,145,0,0,252
genres,1636,153,1838,95,122,726,0,157,0,0,219
genres,2271,547,1170,223,160,666,0,0,0,0,7
genres,1661,90,1810,95,114,809,0,160,0,0,220
genres,1640,80,1736,95,126,882,0,171,0,0,227
genres,1749,73,1831,94,52,761,0,144,0,0,224
genres,2259,64,1632,108,42,632,0,94,0,0,213
genres,1772,69,1931,119,67,736,0,116,0,0,220
genres,1380,51,2607,127,46,547,0,95,0,0,191
genres,1551,0,2397,141,49,608,0,107,0,0,197
genres,1590,0,2307,167,68,646,0,93,0,0,179
genres,1506,0,2642,166,69,436,0,54,0,0,177
genres,1423,0,2263,445,74,614,0,47,0,0,174
genres,2163,192,1402,455,52,549,63,67,0,0,107
genres,2677,749,888,130,144,462,0,0,0,0,0
genres,1418,0,2396,270,77,651,0,46,0,0,173
genres,1512,0,2262,264,81,684,0,50,0,0,173
genres,1448,0,2463,284,56,588,0,21,0,0,167
genres,1709,0,2087,232,64,747,0,7,0,0,167
genres,1736,0,1973,251,61,783,0,42,0,0,163
genres,1854,0,1950,272,56,707,0,24,0,0,149
genres,1695,75,1860,342,49,572,0,76,0,0,347
genres,1739,95,1479,389,0,632,141,45,0,0,494
genres,1766,98,1710,314,0,521,146,26,0,0,437
genres,1907,99,1604,287,0,548,144,16,0,0,370
genres,2566,129,1512,104,173,456,0,0,0,0,72
genres,1711,225,1316,261,0,495,227,13,0,0,642
genres,1968,0,1760,340,6,689,0,46,0,0,207
genres,1894,0,1752,364,0,780,0,23,0,0,209
genres,1897,0,1859,353,0,764,0,42,0,0,119
genres,1662,0,2348,312,0,580,0,46,0,0,102
genres,1828,0,1849,343,0,857,0,64,0,0,109
genres,1892,0,1783,341,0,839,0,76,0,0,119
genres,1994,0,1591,356,0,886,0,87,0,0,136
genres,2058,0,1668,327,0,799,0,81,0,0,117
genres,2027,0,1656,400,0,792,0,50,0,0,125
genres,2405,144,1329,118,177,693,0,0,0,0,79
genres,1705,0,1903,323,0,643,0,454,0,0,22
genres,1426,0,2461,469,0,491,0,201,0,0,2
genres,1478,0,2321,393,0,733,0,98,0,0,27
genres,1508,0,1500,1156,0,796,0,47,0,0,43
genres,1638,0,1667,641,0,923,0,130,0,0,51
genres,1510,0,1861,490,0,1040,0,92,0,0,57
genres,1555,78,1750,491,0,1027,0,86,0,0,63
genres,1466,56,2049,412,0,938,0,66,0,0,63
genres,1474,60,1876,403,0,1024,0,40,0,0,173
genres,1203,41,2483,240,72,829,0,28,0,0,153
genres,2317,185,1447,119,173,640,0,0,0,0,75
genres,1508,54,1977,275,68,956,0,37,0,0,158
genres,1418,35,2285,224,58,841,0,29,0,0,160
genres,1384,40,2136,294,62,931,0,33,0,0,161
genres,1556,37,1743,311,78,1094,0,49,0,0,160
genres,1444,31,1782,336,68,1166,0,35,0,0,158
genres,1237,22,2078,336,61,1091,0,31,0,0,149
genres,1287,11,1950,323,60,1190,0,30,0,0,156
genres,1288,0,1966,300,62,1203,0,27,0,0,160
genres,998,0,2699,245,51,896,0,9,0,0,119
genres,889,0,2951,241,39,784,0,0,0,0,88
genres,2387,174,1289,123,182,681,0,0,0,0,105
genres,970,0,2654,257,44,949,0,0,0,0,99
genres,1977,0,1984,220,5,773,0,38,0,0,4
genres,1420,0,2183,240,19,1054,0,33,0,0,23
genres,1336,0,2137,243,30,1122,0,45,0,0,32
genres,1321,0,2182,240,28,1134,0,40,0,0,32
genres,1371,0,2088,251,30,1142,0,39,0,0,37
genres,1571,0,1894,257,30,1105,0,38,0,0,43
genres,1605,0,1945,292,41,978,0,29,0,0,50
genres,1500,0,1957,270,111,1022,0,23,0,0,60
genres,1607,0,1804,270,74,1038,0,33,0,0,68
genres,2273,185,1293,124,194,765,0,0,0,0,98
genres,1506,0,1770,280,70,1043,0,32,0,0,78
genres,1474,80,2160,248,42,823,0,16,0,0,66
genres,1551,89,1778,290,53,1014,0,32,0,0,92
genres,1633,80,1768,241,35,1027,0,24,0,0,102
genres,1626,68,1663,244,0,1216,0,10,0,0,93
genres,2141,0,1306,260,0,1045,0,94,0,0,91
genres,1733,0,1626,224,0,1147,0,94,0,0,104
genres,1781,58,1525,222,0,1091,0,98,0,0,151
genres,2150,80,1086,209,0,994,105,90,0,0,228
genres,2014,97,766,206,0,701,162,365,0,0,531
genres,2314,193,1259,126,195,781,0,0,0,0,62
genres,1867,215,968,221,0,735,171,125,0,0,584
genres,2174,225,1017,193,0,410,230,78,0,0,561
genres,1768,387,766,86,0,603,241,80,0,0,922
genres,1834,174,1289,264,0,857,117,97,0,0,373
genres,1909,31,1288,333,0,1151,0,121,0,0,145
genres,1723,20,1148,355,0,1502,0,91,0,0,150
genres,1710,24,1416,320,0,1256,0,96,0,0,158
genres,1791,32,1411,329,0,1152,0,108,0,0,155
genres,1622,37,1510,366,0,1168,0,109,0,0,155
genres,1698,39,1540,343,0,1082,0,119,0,0,144
genres,2367,205,1239,126,158,754,0,0,0,0,63
genres,1789,42,1550,375,0,931,0,140,0,0,136
genres,1671,46,1666,384,5,879,0,147,0,0,159
genres,1640,57,1669,394,20,874,0,143,0,0,147
genres,1571,42,1818,377,24,820,0,131,0,0,68
genres,1515,59,1819,419,32,820,0,122,0,0,60
genres,1837,31,1715,395,26,711,0,104,0,0,52
genres,1512,21,2221,384,15,624,0,97,0,0,0
genres,1600,20,2002,387,27,732,0,96,0,0,0
genres,1660,20,1999,373,18,710,0,94,0,0,0
genres,1452,42,2039,381,23,802,0,109,0,0,0
genres,2387,326,1111,120,161,708,0,0,0,0,56
genres,1448,33,2086,426,28,727,0,95,0,0,2
genres,1479,26,2112,342,32,769,0,78,0,0,2
genres,1553,36,2036,264,31,825,0,76,0,0,16
genres,1364,35,2337,251,22,635,0,13,0,0,16
genres,1989,12,1848,244,16,651,0,0,0,0,7
genres,1930,24,1730,258,39,775,0,0,0,0,24
genres,1761,14,2060,259,32,583,0,91,0,0,18
genres,1654,16,2044,257,43,662,0,83,0,0,41
genres,1689,48,1636,296,64,882,0,79,0,0,81
genres,1751,59,1722,266,70,759,0,134,0,0,57
genres,2429,287,1172,111,161,670,0,0,0,0,41
genres,1734,117,1361,334,73,973,0,115,0,0,104
genres,1802,123,1446,286,73,911,0,105,0,0,65
genres,1826,108,1516,277,77,871,0,85,0,0,55
genres,1762,100,1448,282,77,1012,0,98,0,0,49
genres,1953,100,1307,279,81,908,0,97,0,0,24
genres,1852,93,1243,382,82,1044,0,112,0,0,2
genres,1783,120,1301,368,78,1082,0,129,0,0,0
genres,1796,111,1358,357,112,1035,0,121,0,0,11
genres,1451,88,2256,239,68,731,0,101,0,0,0
genres,1164,84,2815,137,61,627,0,73,0,0,0
genres,2197,138,1507,401,52,644,0,61,0,0,50
genres,2530,296,1047,100,165,651,0,0,0,0,57
genres,1561,102,2152,246,69,728,0,92,0,0,0
genres,1669,139,2013,237,75,746,0,97,0,0,0
genres,1591,170,2056,274,62,745,0,84,0,0,0
genres,1734,223,1703,283,61,856,0,95,0,0,31
genres,1889,162,1423,285,53,978,0,99,0,0,98
genres,1795,166,1528,334,52,922,0,94,0,0,93
genres,1771,173,1435,293,74,1009,0,71,0,0,83
genres,2543,304,1004,74,173,661,0,0,0,0,55
genres,2627,291,1012,61,176,652,0,0,0,0,40
genres,2611,281,1072,5,221,625,0,0,0,0,41
genres,2614,262,1088,2,211,658,0,0,0,0,41
genres,2484,294,1044,13,369,587,0,0,0,0,54
genres,2398,259,1110,36,378,585,0,0,0,0,56
genres,2366,257,1118,23,404,578,0,0,0,0,61
genres,2388,256,1049,72,415,575,0,0,0,0,59
genres,2330,258,1044,70,456,566,0,0,0,0,72
genres,2263,149,1380,392,66,697,0,61,0,0,42
genres,2268,254,1063,99,485,569,0,0,0,0,72
genres,2217,199,1064,183,463,556,0,0,0,0,154
genres,2162,200,1067,244,445,572,0,0,0,0,142
genres,2110,202,1101,337,418,538,0,0,0,0,99
genres,2197,209,1089,272,363,555,0,0,0,0,100
genres,2135,217,1135,318,355,593,0,0,0,0,71
genres,2186,205,1183,289,360,562,0,0,0,0,74
genres,1966,196,1334,296,326,663,0,0,0,0,74
genres,1945,193,1325,303,332,634,0,0,0,0,95
genres,1957,192,1303,307,332,576,0,0,0,0,132
genres,2164,340,1344,392,33,681,0,53,0,0,43
genres,1967,202,1174,423,333,548,0,0,0,0,140
genres,1700,179,849,1210,327,386,0,0,0,0,88
genres,1895,243,998,744,334,403,0,0,0,0,145
genres,1608,160,1715,467,342,381,0,0,0,0,114
genres,1911,187,1168,477,359,356,54,0,0,0,239
genres,1881,125,1257,456,338,568,0,0,0,0,61
genres,1774,149,1305,482,341,661,0,0,0,0,65
genres,1960,139,1275,478,337,628,0,0,0,0,7
genres,2047,144,1321,438,328,531,0,0,0,0,22
genres,2134,174,1151,430,237,675,0,0,0,0,40
genres,2210,167,1320,389,68,764,0,55,0,0,48
genres,2191,164,1186,415,231,637,0,0,0,0,33
genres,2268,207,1159,398,202,578,0,0,0,0,67
genres,2380,124,1124,396,112,664,0,0,0,0,91
genres,2359,99,1270,398,159,542,0,0,0,0,78
genres,2269,100,1368,365,217,532,0,0,0,0,65
genres,2544,117,1206,331,211,458,0,0,0,0,63
genres,2355,115,1305,349,219,509,0,0,0,0,62
genres,1849,44,2160,275,215,348,0,0,0,0,46
genres,1940,49,1871,299,179,526,0,0,0,0,80
genres,1889,53,1703,288,186,753,0,0,0,0,86
genres,2308,153,1266,380,96,824,0,0,0,0,23
genres,1947,54,1754,265,198,672,0,0,0,0,104
genres,1775,50,2295,165,192,458,0,0,0,0,76
genres,1986,64,2003,166,199,492,0,0,0,0,90
genres,1838,112,1978,166,235,589,0,0,0,0,72
genres,1785,90,2073,140,207,648,0,0,0,0,57
genres,1896,97,1957,143,211,639,0,0,0,0,52
genres,2045,105,1811,85,233,653,0,0,0,0,92
genres,1892,106,1948,94,230,705,0,0,0,0,66
genres,1910,108,1905,87,208,756,0,0,0,0,68
genres,1979,100,1821,88,201,774,0,12,0,0,75
genres,2421,134,1272,364,77,771,0,0,0,0,11
genres,1915,118,1916,105,198,725,0,5,0,0,68
genres,1882,159,1965,54,190,769,0,5,0,0,26
genres,1959,156,1832,48,189,781,0,48,0,0,21
genres,1968,146,1986,29,191,624,0,77,0,0,6
genres,2041,174,1747,55,200,668,0,90,0,0,8
genres,1930,174,1797,51,199,665,0,101,0,0,0
genres,1914,218,1642,86,209,750,0,103,0,0,0
genres,1956,229,1595,101,210,734,0,111,0,0,0
genres,1896,229,1572,82,262,794,0,112,0,0,0
genres,1978,233,1614,79,249,684,0,115,0,0,0
genres,2463,114,1249,361,72,781,0,0,0,0,10
genres,1877,237,1690,50,235,532,0,107,0,0,224
genres,2021,249,1575,67,173,609,0,106,0,0,151
genres,2160,248,1467,65,158,620,0,108,0,0,125
genres,2114,258,1526,94,160,593,0,113,0,0,92
genres,2182,273,1436,92,160,632,0,105,0,0,70
genres,2113,279,1516,105,111,636,0,123,0,0,67
genres,2162,277,1370,120,105,646,0,120,0,0,147
genres,2129,280,1402,147,109,682,0,124,0,0,68
genres,2212,274,1500,132,54,600,0,118,0,0,59
genres,2209,271,1492,164,51,605,0,92,0,0,63
